Source,Target,Type
815555071517872128,368551889,Directed
128042269,457994194,Directed
4263007693,906186816914694144,Directed
3320318445,1011817655957893120,Directed
253050625,919744697551253505,Directed
423847851,375686456,Directed
1241814552,3342954622,Directed
108979413,964387064757215232,Directed
20444825,844581222974193664,Directed
3092381638,848993477702672384,Directed
984153476686065664,1011817655957893120,Directed
4263007693,299951880,Directed
279084729,895213223724666880,Directed
20444825,1265287416,Directed
4263007693,1206727611168124928,Directed
791719318320979968,1097552545411678208,Directed
423847851,994713482263191552,Directed
1092656478962384896,823044740086120448,Directed
2420911094,862314906544218114,Directed
973955318987210752,250911478,Directed
326077427,433559451,Directed
260399941,597868047,Directed
973955318987210752,1033085881203273729,Directed
4263007693,6419692,Directed
1099771031290593280,1648910593,Directed
2973406683,299116504,Directed
4263007693,143562564,Directed
46245868,1265287416,Directed
4263007693,748831448954654720,Directed
256395922,17473349,Directed
2640938963,1112684340922798081,Directed
25215810,55058464,Directed
1270025862,1152052858721918977,Directed
1653264782,1153291451213725696,Directed
827984604,10618402,Directed
254147480,162285784,Directed
4263007693,22408636,Directed
20444825,104011921,Directed
74735972,1086037534176473088,Directed
15496407,23007083,Directed
2544177302,169263235,Directed
1060213620397637632,179502768,Directed
844327366239379456,115311127,Directed
20444825,118986590,Directed
1145917291693072384,1000814755664150528,Directed
260399941,23278024,Directed
1099771031290593280,2221004379,Directed
4263007693,212095812,Directed
2365729350,1011817655957893120,Directed
20444825,1162935148763066368,Directed
842679437263028224,3422679406,Directed
39387668,127774379,Directed
4634386828,498631199,Directed
4263007693,168207811,Directed
2303856248,841190394,Directed
16741059,2161894872,Directed
4263007693,183245102,Directed
295344317,1091761273015070720,Directed
3140904045,2527843680,Directed
345609141,3609748644,Directed
815555071517872128,1042518909222617088,Directed
46782674,44348435,Directed
4263007693,827599790800113668,Directed
326077427,1075011651366199297,Directed
1203106665551269888,1011817655957893120,Directed
827984604,15759258,Directed
744328644,953686343825096705,Directed
2499047479,1213147483200577536,Directed
842679437263028224,810068279754706944,Directed
226310002,919744697551253505,Directed
534563976,105651575,Directed
273781698,997138255719161858,Directed
4263007693,3236763164,Directed
815555071517872128,1011817655957893120,Directed
433559451,2875615025,Directed
3092381638,720477266,Directed
